Entry Date,Exit Date,Stock,Trade Type,Shares,Entry Price,Exit Price,Capital Allocated,Stock return,Reason,weight,portfolio return,profit/loss,portfolio value,Cumulative Return
31-05-2017,30-06-2017,SBIN.NS,Long,405,271.3607178,257.5715027,109901.0907,-0.050815075,End of Period,0.412083615,-0.02094006,-5584.632115,261597.8527,1.599018704
30-06-2017,31-07-2017,HDFCBANK.NS,Long,242,781.3277588,843.921936,189081.3176,0.080112573,End of Period,0.717677732,0.05749501,15147.79088,279310.9979,1.74844931
30-06-2017,31-07-2017,RELIANCE.NS,Long,122,607.1965942,716.3335571,74077.98449,0.179739089,End of Period,0.282322268,0.050744347,13314.70947,277477.9165,1.887917577
31-07-2017,31-08-2017,HDFCBANK.NS,Long,268,843.921936,840.1620483,226171.0788,-0.004455255,End of Period,0.773383191,-0.00344562,-1007.649904,291748.4128,1.877966911
31-07-2017,31-08-2017,RELIANCE.NS,Long,92,716.3335571,707.1531982,65902.68725,-0.01281576,End of Period,0.226616809,-0.002904267,-844.5930188,291911.4697,1.869608528
31-08-2017,29-09-2017,BHARTIARTL.NS,Long,356,370.5531311,337.4137878,131916.9147,-0.089432096,End of Period,0.454669796,-0.040662073,-11797.60621,279099.4888,1.752924297
31-08-2017,29-09-2017,HDFCBANK.NS,Long,188,840.1620483,853.9956665,157950.4651,0.016465417,End of Period,0.545330204,0.008979089,2600.720222,293497.8152,1.777643049
29-09-2017,31-10-2017,HDFCBANK.NS,Long,214,853.9956665,855.3198853,182755.0726,0.001550615,End of Period,0.649190249,0.001006644,283.3828232,281963.9899,1.780439148
29-09-2017,31-10-2017,BHARTIARTL.NS,Long,292,337.4137878,430.7668457,98524.82604,0.276672327,End of Period,0.350809751,0.09705935,27259.09291,308939.6999,2.050306765
31-10-2017,30-11-2017,HDFCBANK.NS,Long,208,855.3198853,876.6969604,177906.5361,0.024993076,End of Period,0.576482254,0.014408065,4446.431621,313750.3275,2.094255783
31-10-2017,30-11-2017,HINDUNILVR.NS,Long,117,1115.722046,1154.744263,130539.4794,0.034974855,End of Period,0.423517746,0.014812472,4565.599389,313869.4953,2.140089359
30-11-2017,29-12-2017,HDFCBANK.NS,Long,318,876.6969604,885.5410156,278789.6334,0.010087927,End of Period,0.876138471,0.008838421,2812.409554,321154.3313,2.167842792
30-11-2017,29-12-2017,RELIANCE.NS,Long,48,817.4061279,816.9625244,39235.49414,-0.000542697,End of Period,0.123861529,-6.72E-05,-21.292968,318320.6288,2.167629852
29-12-2017,31-01-2018,HDFCBANK.NS,Long,249,885.5410156,948.5844727,220499.7129,0.071192024,End of Period,0.687989797,0.048979386,15697.82082,336831.9839,2.322778417
29-12-2017,31-01-2018,HINDUNILVR.NS,Long,80,1241.319824,1242.680908,99305.58592,0.001096481,End of Period,0.312010203,0.000342113,108.88672,321243.0498,2.323915184
